text,label
tak baca ulang kalimat yg hoax hoaxnya  kan dibilang gibran diganti perlu kata walikota yg baca mestinya paham lha emang gibran udah jadi wapres kan,negative
bantah bukti no tlp tsb bukan milik gibran,neutral
woyyy      prof jangan kegocek  om memed  ngalihin issue fufufafa  fufufafa tetep dilantik impeachment mah soal gimana,negative
pasukan bawah tanah jokowi  gibran rakabuming raka lambang negara,negative
akun fufufafa a1 milik gibran akankah gibran batal dilantik,neutral
tukang cuci lewat permisi,neutral
lah tifa aja penyepong anis  genjar menyerang gibran mulai fari fitnah ijazah  sekarang narkoba gagal mulu  dijanjikan apasih orang hingga sepei  gelar dogter aja meragukan ditambah sama bambang tersangka bebas berkeliaran  heran g tau malu,negative
ga ikutan kan,positive
ku doa kan semua bangkrut pendukung gibran  mati,negative
wow sungguh busuk kalian    diawal mencitrakan diri kesederhanaan mendukung ternyata diakhir periode kekuasaanmu mulyono terungkap kebusukanmu  kalian penipu,negative
mungkin alasannya jadi tearik masuk dunia politik  ez money,negative
dilantik kalau indonesia gunakan nalar teman jgn kuat iri,neutral
memang perlu dumas  pengaduan masyarakat   amp  cawe2     proses si kaesang maupun si gibran  bocah presiden  peanyaannya   punya nyali  amp  keberanian   konstitusi memanggil ditegakkan,positive
iya ngapain coba adu domba biarin pendukung menikmati kebodohannya memilih 2 org,negative
dulu acara metro waktu gubernur paling angkuh gibran   menunjukkan anak gaul,neutral
wkwk  penyepong tai keluarga jokowi muncul,neutral
ayo jujur  sepei adikmu si  yg ngaku anak mulyono,positive
kata  gak asing spt ucapannya si fahri  ngabulin ngibulin jilid2  dki dkj beda dg dkm  dlm kelompok mulyono,neutral
berlebihan puji2 jokowi 2019   manfaatkan anak2   gibran  kaesang jadi super sombong angkuh    sepei kelainan jiwa   akun ff   hina2 keluarga prabowo,negative
rapat bahlil lahadalia ekspresi berkedip gibran jadi sorotan netizen  pentingnya minum obat cacing meeting,neutral
fufufafa gibran   anak mulyono looo    lawan,negative
idayati sing dijodohke neng mulyono karo paman ndoblang gen memuluskan gibran,positive
antek2 amerika selalu gk terima beliau ber2 gabung,positive
fufufafa gibran   dek kelakar kamu dg jetpri berani     anak mulyono   kalian lawan,positive
berai lu pilih gibran,negative
bukan udunan duit kite yg dipotong tiap gajian kan,negative
paling hebat kalo berani tunjukkan ijazah aslinya,positive
bagaimana mungkin diberi gelar doctor hc gelar s1 aja tdk miliki  lembaga pendidikan mana sih yg over acting,negative
fufufafa gibran   gue ganti nama akun    mengganti nomor hp sea menganti nama pemilik akun     bereskan,neutral
dikasih fakta data skalipun sll bnyk ceboker nya  coba aja bikin kaya gini ig threads bakal serang 7 hari 7 malam  dah gw alamin sampe hina2 mosqueen  pdhl cuma beanya bisnis apa sampe kekayaan naik 100m 5thn keluar tuh ceboker2nya,negative
jangan ganti kapolri ganti gibran langsung tdk bakal masalah negri,negative
wkkkkk     mampus lo,negative
satu guru satu ilmu sama,positive
lhaaa bagus kan bakal pembuktian ntar siapa fufufafa yg bukain jalan kesana pasukan tikus got semakin seru apa pasukan tikus got punya data pembanding buat bantah roy suryo  ato cuma nuduh fitnah doang ga buktiin kalo fufufafa bkn gibran,negative
ted    kok semakin bodoh sih pak habibie dilantik istana negara presiden mengundurkan diri kalau cepat melakukan penggantian presiden sangat bahaya nkri banyak membaca ted,negative
raskin rumah udah dpt stok brp karung bos  mabok asam sulfat jgn lama2 bos   tdk baik buat otak yg dlm masa peumbuhan   otak kecil nnti tambah menciut,negative
lgbtq g nya gibran,negative
negaranya gibran sejenisnya jadi mau terkejut udah ga heran,neutral
ngelas ngeles mulu jelas2 lu sdh menuduh kok kalau fufufafa gibran  cocote koar2 ujung2nya klarifikasi  kocak,negative
tantangan buat kaesang      kaesang gak berani pakai kaos tulisan adiknya fufufafa gibran   kaesang   pria pengecut  amp  penakut,negative
ijazah palsu trs hampir 10 tahun isu aja yg eksis gibran jadi wapres gibran jadi presiden isu aja yg dihembuskan,negative
kamu mah dulu mikirnya sana mulu ga si,negative
samakah dgn university of bradford in singapore nya gibran chili pari  bentar lg dpt dr  hc  sepeinya mengikuti jejak ra bentar dpt tanda jasa jg,neutral
dibawa pemerintah pak gibran,negative
pak fadli kalau jadi menteri jangan lupa kalau menghadap pak gibran tunduk kepala jangan coba2 natap mukanya gibran bisa2 dipecat,negative
mungkin samakah dgn university of bradford in singapore nya gibran chili pari,positive
gibran pegang negeri  selesai bangsa  semuah tunduk patuh sama gibran bocah yg tdk perna baca buku memerintah semuah elit politik yg baca buku ribuan mantan aktivis semuah,positive
bagus biar dibuka pengadilan biar rakyat tau   yakin akun fufufafa milik gibran rakbuming roy suryo kini diadukan bareskrim polri  resah,positive
pak said didu    punya masalah apa sih sama pak jokowi  ko begitunya mengarang bebas bikin narasi bukti   mas  mungkin pak said didu pingin jabatan  kasih beliau jabatan kahsiplek kepala satuan hansip komplek,negative
tanggal 20 oktober jadi apa kalian besea selama menjadi penjilat setia   serius penasaran,positive
bukan investor nyogoker  uang sogok,neutral
si wabah  mending tetap markobar aja deh sekalipun kurang sreg sama gibran,negative
kalian cuma rakyat yg peralat politik jadi jangan terlelu bod h  yg kalian dukung kalah d pilpres kmren sedang berusaha utk gabung k pemerintahan era prabowo gibran  kalian cape cape bela dapatnya apa    politik semua butuh kuasa kalian d peralat,negative
semuanya gk cocok krn hadil kecurangan n kebohongan,neutral
jd caleg gak laku jd buzzer aja,negative
fufufafa msh,positive
klw anak mulyono songong2 tanyain aja bisnisnya pisang gmn mas,negative
10 tahun terburuk ala jokowi,neutral
sehina seorang calon presiden  katain sama,positive
tantangan buat kaesang pangarep   kaesang tak berani pakai kaos tulisan adiknya fufufafa gibran   kaesang   pria pengecut  amp  penakut,negative
gitu,negative
orang calon mentri datang pemeritahan prabowo gibran  mau jadi apa negaraku indonesia yhwh bless indonesia,neutral
asuuuu mending do melu psht wae,neutral
intelektual menjawabnya,positive
andai      yowes urus   fufufufuf,neutral
salah pemerintah menghambat tukang palak pengusaha merasa benar,negative
kebanyakan janji,positive
itungan2an gak sih    yg gk suka mukidi  16 24    kok yg puas 89     wkwkwkkww surepay yg sungguh dipaksakan,negative
provokator bukan profesor,negative
eh polisi idol anjir gausah bawel dahh lu,negative
presiden dungu   penyembahnya lebih dungu,negative
keren tuh kayak gini,negative
hrs mirip abah,negative
anaknya yg bikin lu tantrum,negative
profesor kompresor nih  guoblok kok profesor,neutral
rapat bahlil lahadalia ekspresi berkedip gibran jadi sorotan netizen  bestie satu frame,neutral
penting jadikan gibran sepei maruf amin aja   hahah,positive
koar  tntg akun fufufafa pdhl gak tau klo fufufafa aslinya si,negative
selengkapnya   gibran  gibranrakabuming  narkoba  pik  peringatandarurat  kawalputusanmk  cekfakta  pon  turnbackhoax  podcast  kbrprime  lawanhoax  factcheck  digitalliteracy  cekfaktanya,positive
3 topik terpilih periksa fakta mafindo periode 13   19 sep 2024 sorotan highlight   1  bocoran video buzzer peringatan darurat  2  atlit muaythai dipaksa panitia pon aceh memakai hijab  3  gibran nyabu sama bandar disembunyikan,neutral
fufufafa gibran   preman yg nyuruh orang yg anti demokrasi sepei nya mulyono deh,negative
sehat sll bp prabowo mas gibran presiden 2024 2029 semoga jd harapan rakyat indonesia ekonomi rakyat bs terjangkau lapangan kerja mudah amin,positive
fufufafa gibran   gue cocok sama susu fifi,neutral
fufufafa jd idola manusia oon,positive
roy suryo memaparkan bukti2 dugaan gibran lah yg nyangkal kok cma halusinasi bukti2  awokawokawokawok,negative
fufufafa gibran   polisi kacungnya mulyono      polisi bukan penjaga keamanan penjaga nafsu mulyono,neutral
fufufafa gibran   mulyono   bpk,neutral
kalau se kubu sepakat ainun rasanya perlu buang waktu ngobrol lebih lanjut  merampas hak murid mengikuti olimpiade meng eksploitasi loophole sistem lalu menormalisasi pelecehan seksual gibran kenakalan,neutral
berbagai program infrastruktur udah dibangun buktikan jokowi serius memajukan daerah daerah terpencil langkah nyata pemerataan  jokowibaktiuntuknegeri,negative
keluarga bangke  fufufafaaibnasional  fufufafabocilpsikopat  fufufafamesum,neutral
jadi peringatan buat nih biar gak kalah sama negara lebih rajin belajar ngembangin diri,negative
kelazzzzz cing,neutral
gibran wajib melampirkan ijazah aslinya     xe8,positive
fufufafa pengen susunya si syah,negative
dukung utk diproses sangat terbuka jujur    datangkan ahli it uji forensik hadirkan roy suryo gibran    ayo dukung sepei spya masalahnya jelas   hadirkan pemilik katering chilli pari kaesang p jokowi ayah kedua orang,negative
udh ga salah klo km musnahin jokowi gibran,negative
awas luh ye tahun depan pajak naek jangan ngejerit,neutral
tantangan buat kaesang pangarep   kaesang tak berani pakai kaos tulisan adiknya fufufafa gibran   kaesang   pria pengecut  amp  penakut,negative
emang sengaja ga nyambung sih cuma mau ngasih tau aja kalo ngatain pecundang cuma berani internet gibran fufufafa dulu gitu kok trus ngatain orang yg ga punya simpati sama orang yg kehilangan anaknya kelompok kalian sering ngatain aksi kamisan,negative
tantangan buat kaesang pangarep   kaesang tak berani pakai kaos tulisan adiknya fufufafa gibran   kaesang   pria penakut  amp  pengecut,negative
wkwkwkwk bangke up foto yg bersama gibran terbaru dong lol,positive
tantangan buat kaesang pangarep    kaesang gak berani pakai kaos tulisan adiknya fufufafa gibran   kaesang   pria penakut  amp  pengecut,negative
tantangan buat kaesang pangarep    kaesang gak berani pakai kaos tulisan adiknya fufufafa gibran   kaesang   pria penakut  amp  pengecut,negative
jangan mengira cinta datang keakraban lama pendekatan tekun  cinta kecocokan jiwa   kahlil gibran,positive
prabowo gibran gak bohong  terus bohong  ngomong,negative
hatukufii,positive
kalian tes dna presiden gibran kaesang kahiyang kalau niat ragu apa sebenarnya mulyono jadi joko widodo,negative
cba si gibran suruh bicara    siapa ikut bicara     tololl,negative
kalo gibran ngetik dilanjut  alhamdulilah sih bapakku mau bantu cari kerja  katanya gausah serius serius cukup ttd sm liat liat tempat  kucoba sekali lumayanlah sesekali ngelakuin hobi,neutral
coba gibran jel,negative
seistimewa itukah si gibran  blng lambang negara,negative
sebenarnya penuntut menuntut pembuktian fufufafa gibran harusnya gibran membuktikan fufufafa bukan,negative
keluar dr pdi p samakin kelihatan rusaknya,negative
kalo gondrong kaya gibran,positive
emngnya gibran siapa    adu data,negative
siapa,neutral
percuma  bentar lengser  betul harusnya gagalkan pelantikan prabowo gibran,negative
banyak nama dunia yg dipake kudu gibran si anjg walopun yg h nya sama aja,negative
puas mantengin fufufafa,negative
jadi gigolo boti keduanya cocok,positive
abis gibran langsung lamar cewek,negative
lambang negara indonesia gibran bukan burung garuda kata pasukan bawah tanah jokowi     jangan lupa diganti,negative
logis sih jokowi prabowo gibran saling terkait,negative
pantesnya buka usaha laundry ngelaundry duid jaminan bersih ga bernoda,negative
beliau menggantikan gibran wali kota solo namanya pak teguh kalau mau ngasih info tulis lengkap agarr membingungkan masyarakat lainnya nantinya masyarakat menyampaikan yg sesuai fakta yg sebenarnya  jadi malah hoax,positive
maklum mbak nur  msh ganti pembalut,positive
silhkan pak tobing puas2in memuja menyembah berhala ciptaan jokowi gausah ngajak2 orang setuju   makan ajah sendiri,negative
jd keinget foto lu yg kyk gibran rakabuming lu nyabu jg yh,negative
angk0t88 tindakan masriwati jelas jelas mencoreng citra asn  negara tegas masalah intoleransi   korbanmulyono  polisi,negative
awal tahun salah satu pabrik ban terbesar cikarang menutup pabriknya,negative
gpp drpd kau merah terus kalah 3 0 wkwk,negative
klau mendengarkan statmentnya konfirmasinya soal akun fufufafa adlh gibran  berkata kalaumemang ainya andai,negative
maklum lidah lebih cepat tajam dibanding tulisan tinggal diusut aja ajaran ustadz sapa yg biasa beliau dengar nkri,neutral
oii  sekali kali main tweet lah jangan sibuk kaskus,neutral
pembangunan infrastruktur memperkuat daya saing indonesia tingkat internasional  terima kasih pak jokowi   jokowibaktiuntuknegeri,positive
gibran angk0t88 semoga meneruskan semangat baik pergi   feni,positive
ora mungkin ora mungkin wess     hahaha malah ra warass anis raisa kerja gawe apa dadekne penganti gibran wkwk,positive
katanya dicintai lihat diakunmu 100  negatif  gimana jadi pemimpin kl awal masyarakat sdh sentimen  akun mengejar follower kali mainkan gimmic sensasi kasihan yg jadi korbanmu,negative
pos gibran bersama perkumpulan peternak nusantara p2n relawan kaum milenial standup for nation turut mendampingi kegiatan calon gubernur jawa tengah periode 2024 2029 ahmad luthfi salatiga tajuk makan bakso bersama masyarakat minggu  29 9 2024   ahmadluthfi,positive
dibuktikan fufufafa gibran sesuai nomor hp,neutral
justru gibran lambang matinya pancasila uud 1945 negara sebesar dikalahkan seorang tukang kayu,positive
eaaaa  gkgkgk,negative
terbukti prabowo gibran menang 1x putaran fakta,negative
apapun namanya gibran pilihan rakyat fakta,negative
jalan tol bikin gak capek pas perjalanan jauh  makasih banyak pak   jokowibaktiuntuknegeri,negative
karna bukan duit si investor,negative
bubar aja lah ten hag  kasih aja nistelroy buat interim dulu  kacau kacau,negative
nih si  adeknya si  fufufafa makin songong n ga tau malu,negative
terima kasih pak jokowi atas semua upaya keberhasilan capai   jokowibaktiuntuknegeri,positive
kritik mulyono dibilang anak abah banyak bahkan gw kenal pendukung pak prabowo gak suka sama gibran keluarga  pilih 02 pak prabowonya bukan anaknya pak mul,negative
najiss punya lambang negara muka beler kaaya gibran,negative
plot twist gibran suka sm lu kh,negative
darimana,positive
nunggu anak abah nangis masal lihat prabowo gibran dilantik 20 oktober 2024  fufufafaaibnasional,neutral
anak      memberi pernyataan membukanlowongan kerja ayah     memberi jawaban,positive
wakil nya gibran,negative
baik kayak hati fufu fafa,negative
gua nyesel bos pilih beliau kcic beban utang ngeri padahal g urgentsinya beban utang yg kasihan rakyatnya ppn mulai naik tahun depan tapera   kalau jd  asuransi motor mobil pajak rumah yg cekik rakyatnya  ee ekspor pasir dibuka duh duh hemm,neutral
masa  dibilang pengguna narkoba,positive
hah pantes sih gibran menang orang goblok kaya lo punya pendapat gini,negative
terus terang malu  gimana,negative
pcr e mirip gibran jir,negative
anehnya banget    kok milih,positive
rakyat ketiban apes,negative
,positive
sangat memilukan,negative
prabowo nya oke bahkan gw sangat fanatik prabowo gibran nya yg jadi masalah takut prabowo kudeta tengah jalan,negative
chiyeeee menebar ketakutan chiyeeee   orang orang kek gini memang sungguh perlu bayaran eh nganu peneiban,negative
seluruh rakyat nkri sedang ketiban apes   nasib nasib,negative
baek kan  hahahaha,positive
ten hag bangke  capek capek butuh booster malah ga jelas gini  dah 2 tahun lebih lo dikasih waktu  bahkan jaman ole dipecat ga se hopeless gini,negative
dengerin tuh bu retno    didengar yak pak      teroris macem hamas hizbullah koq dibela,neutral
inisial gibran,positive
udah program prabowo gibran   aku nerima eunaak nya terus menerus sekarang,neutral
ngantuk ah  bawak bawak la tidur tengok benda bodoh kt tv tu,negative
gimana caranya melamar buzzer min  lumayan 20 hari,neutral
prabowo x gibran,negative
ooh    berai gibran termasuk binatang langka,neutral
percaya sama polisi2  era      bgmn kamu bung  kamu percaya dgn  bekerja dgn jujur berintegtas persatuan bangsa negara,positive
percaya sama polisi2  era      bgmn kamu bung  kamu percaya dgn  bekerja dgn jujur berintegtas persatuan bangsa negara,positive
percaya sama polisi2  era      bgmn kamu bung  kamu percaya dgn  bekerja dgn jujur berintegtas persatuan bangsa negara,positive
percaya sama polisi2  era      bgmn kamu bung  kamu percaya dgn  bekerja dgn jujur berintegtas persatuan bangsa negara,positive
penjelasan ceritanya urut  foto  kejadian  membuat semua selalu berhati  dlm berkendara,neutral
inilah yg disoal kang ubed bbrp taun lalu   kang ubed be like  kan   semoga masnya ga dilaporin pasukan gorong2 mulyono,positive
kalo gibran tempat les kalo silfester ruko,neutral
pas awal semester pgn bgt beli kemeja warna biru langit udah nyari pasar sayang aja ga nemu yg cocok  tiba semua terhenti mbu bilang ih kayak pendukungnya gibran damn memang efek gamau disama in kayak gibran is no joke,negative
gibran lambang negara manusia yg rusak mental,negative
derajat mu lebih mulia gibran,positive
aksi sosial relawan mas gibran diapresiasi,positive
ridwan kamil gagas program makan bergizi gratis prabowo gibran pakai qris breaking news,neutral
langsung mingkem mulut nya,negative
haduee    tak namanya diganti calon wakil presiden klu gibran diganti bener menjabat walikota solo gantikan dgn teguh prakoso sekarang buat netizen bingung,negative
gibran makasih banyak  aku sayang banget sama kamu makasih udah hadir kehidupan aku aku bener bener ngerasa gaada menarik hidup aku  gibran you really light up my life,positive
menteri bumn era prabowo gibran jangan dijabat tim sukses,positive
uu omnibuslaw permudah perusahaan mem phk karyawan nya  fakta,neutral
sepei halnya hukum meyakini akun fufufa punya gibran bukan   tetap gibran calon wakil presiden,neutral
suka gibran tidak membabi buta membuat tuduhan keji sepei  sepeinya gibran sedang merasa lucu dgn serangga yg melintas depan,positive
gass terus fufufafa  pesawat jet  mulyono cc,neutral
yeshhhh urus aja dulu masalah2 negeri fokuskan sbgian besar energi masalah internal  bole bantu negara jangan porsi perhatiannya melebihi porsi negeri  rakyatmu beeriak masalah ekonomi hey,negative
namanya jg aneh ngaku pasukan bawah tanah kok tiba tiba keluar po wes khawatir banget piye klo fufufafa terus menggelinding samsul batal dilantik tak kasih tahu yo wowo ki ngundang pdip gabung ainya jkw gibran mrongos ngelu no penjara,negative
cek kaos serut crop top anak perempuan kekinian labubu   atasan 5 6 7 8 9 10 11 12 13 14 tahun harga rp56 000  dapatkan shopee sekarang   fufupapa gibran jet lengser ayo lihat videoku shopee video,neutral
ternyata 11 12 sama junjungannya si plonga plongo jilid 2 gibran fufufafa,neutral
ngomong apa sih lu goblok,negative
lu bukan kritis buzzer    nyerang tema kompak nyerang personal bukan kebijakan skrg kayaknya mau cuci piring tuh  orang kayak gini jgn sampe dpt gaji dr apbn,negative
gibran keren katamu,positive
gibran mana nya ajg,negative
yg anehnya usahanya sepi bahkan merugi tp modalnya beambah terus  dasar brekele gaya ndeso wajah polos sederhana tp gragas via anak nya  utang negara ribuan t banyak proyek banyak jg pemasukan  bapaknya temen bisnis jg jd dubes korsel,neutral
asli jujur ngakak bener bener bahagia kalau gibran ganti ehhh malah blunder jadi kelihatan lolotnya,positive
jahat jujur,negative
buktinya kanya sembelih lehernya akal liciknya jokowi amin gibran,positive
bisnis yg sebenarnya bisnis loundry  mencuci semua baju kotor kinclong,neutral
kalau ternyata prabowo gibran gak sanggup datangi rumah hasyim tuntut bayar,negative
klo smpe pak  setuju gibran lambang negara sih keterlaluan  berai mmg benar indonesia gak maju negara tdak bsa bersih,negative
baru tahu lambang negara udah berubah jadi gibran  buku2 pelajaran sd musti direvisi berai,negative
nonton seni memahami kekasih   simping over elang el gibran,negative
prabowo bodoh sekali memilih gibran jadi wakilnya  tulul banget,negative
wkwkwk kepikiran yg suka track sampler 2 ama 3 udh kek pantun jarjit 2 3 ipk gibran,positive
wakakka lambe waras isi otak nya ga waras  maksud gibran ganti walkot eh kejebak betmen,neutral
gua ga pernah ngatain orang anjing  sekalinya ngatain woi  fufufafa anjing    fuck you    you re not even my vp,negative
terserah apa kata kau lah  hitungan hari si  lengser  ri mulai episode baru bersama   tinggal kenangan aja,positive
bukan bisnis tempat cucian,neutral
lagu curahan hati gibran  fufufafaaibnasional,positive
pks ga diajak,neutral
lagu yg mewakili curahan hati gibran,positive
wkwkwk gibran diganti kan udah gk jadi walikota solo,negative
hidupnya singapura,neutral
ibukku ngapain takut anaknya kena pergaulan gak bener  harusnya sih santai aja wong anaknya gak temenan sama gibran kaesang,negative
boncos,positive
berai utk diberhentikan masa jabatannya gibran ttp dilantik dulu,neutral
ajg mana kaesang jg bgst,negative
emang sifufufafa siapa,neutral
batal pelantikan gibran   dasar hukum nya apa   adakah   wkwk ngadi2 aja bikin tread,negative
anjiiiiir gibran dijadiin tolok ukur,positive
kunyuknya gibran blo on cuma gitu  doank cuitan nya,neutral
jangan yg pura2 tdk tahu gibran mendaftar jadi cawapres akal2 an   ingat mk mk,negative
kiri kayak gibran rakabuming,negative
berita 2 tahun lalu share ulang,neutral
keren jg komsepnya,positive
rumah e adem wong temanggung,neutral
apasih,positive
gibran gak mikirin sapa2 cuma mikirin klrga nya sendiri spt bapaknya,negative
ga dulu makasy,negative
anak2nya mulyono makin kesini makin songong mentang mentang banyak cebokernya  sombongnya selangit uang mana buat gaya2an,negative
allah sedih,negative
bj habibi lantik istana negara yg ibu kota  sekarng jakaa bukn ibu kota  paham uu ga lu anjing penjilat,negative
minggu malem kok kerja kocakkkkk,neutral
allaah swt rosulullaah saw mimpi sayyid muhammad qosim bin abdul karim  mimpimuhammadqosim jefri nichol cantik banget  korbanmulyono feni video mulyono gibran kaesang anies fufufafa p diddy justin beiber,positive
kan kayak bukannye ngelem benran,negative
sama gtb matanya gibran gelagatnya udah jelas narkoba nyengir sendiri,neutral
allah gusti,positive
knp sih kalian,neutral
nggaklah,positive
jangan sampe gua tag gibran,negative
kelabakan level dewa moga gak diliat anak anak nya per,negative
diskusi utk menentukan langkah langkah utk mempersangkakan gibran   uu ite  yi melalui jalur hukum   bila jadi tersangka batal dilantik   sesuai uu   mimpi yg anti jkw,neutral
pak teh demam   jenis demam terkejut ni biasanya lama utk pulih,neutral
bangun,positive
sekedar dibaca   membaca buku berbobot penting,neutral
gibran bin mulyono pemilik akun fufufafa,neutral
jadi elu kawan gibran,negative
gibran mau diganti sbg walkot solo gantinya pak teguh bukan mb puan,negative
buzzer yg tersisa   padahal sdh banyak yg taubatan nasuha,negative
kelabakan tega banget lu bilang presiden jokowi  fir aun per    anaknya    dijamin kesel lu katain bapaknya kayak gitu,negative
anehnya rakyat sebesar kalem,positive
wkwkwk ngamuk nih   buzzer kalo gofood muncul nama gibran lantas yg goblog fufufafa gibran,neutral
gw sih berharga gibran tetep jd wapres kalo bs presiden trus walresnya kaesang  biar cepet selesai     jadi negara andalas negara borneo  eneg,negative
58  bayar pajak 16 bayar pajak 24 bayar pajak   trus beda nya d mna,neutral
kok kegocek sih   gibran diganti posisinya walikota surakaa,neutral
gibran kalo bapak lu bukan presiden kagak yg mau temenan ma lu kali  tipe2 yg jadi sampahan pergaulan,negative
udah cocok gibran lulusan singapore banyak prestasi merintis bawah jualan jadi capres gak turut campur keluarga murni prestasi yg punya,negative
ikan tuna segarrr,neutral
jelek banget kayak gibran anjg,negative
usn baru doanya cepat bigwin,neutral
akun fufufafa memberikan sinyal rakyat nntinya biar tdk kaget beindak rasis    bukan u menggagalkanya jadi wapres mengadu domba,neutral
alhamdulillah gerimis,positive
mau join,neutral
gibran yg diganti gibran walikota solo bukan wakil presiden,negative
bentar masuk bulan oktober bentar guru2 menerima janji kampanyenya   senang nya guru2 bila terima tambahan gaji juta rupiah dr presiden nya klo g banyak alesan,positive
kebijakan makan siang gratis prabowo gibran memiliki potensi besar menggerakkan ekonomi indonesia meningkatkan kesejahteraan masyarakat   indonesiaemas  programpresiden  presidenprabowo  makansianggratis  kesehatangratisuntuksemua,positive
kebijakan makan siang gratis prabowo gibran memiliki potensi besar menggerakkan ekonomi indonesia meningkatkan kesejahteraan masyarakat   indonesiaemas  programpresiden  presidenprabowo  makansianggratis  kesehatangratisuntuksemua,positive
katanya fufufafa bukan gibran  fufufafa kontol fufufafa anak haram fufufafa binal fufufafa goblog fufufafa tai fufufafa anjing fufufafa anak babi fufufafa dajjal laknat fufufafa brengsek fufufafa biadab fufufafa akksudbduxkssmznxjdkks,negative
otak lu sungsang  gibran pas kampanya bilang 17 juta lapangan pekerjaan  intinya,neutral
tak perlu dihapus dipastikan satir jadi kenyataan masa depan mengingat kasus fufufafa suka suatu masa depan cuitan menjadi kenyataan  jadi justru ditakutkan pro  malah menjadi kenyataan,negative
trimakasih banyak pak jokowi infrastruktur aceh makin joss   jokowibaktiuntuknegeri,negative
bolehlah lu sekarang seneng just wait n see bagaimana pak prabowo memimpin negeri liat bagaiman nasib gibran,negative
habis dilantik langsung pecat aja wakilnya pak,negative
mabuk nya kok gak kelar kelar  pelaku yg bingung sendiri,negative
gibran lambang negara anak haram konstitusi,negative
bukannya phk krn sp3 dikali 0 5  terkecuali resign,negative
banyak kadrun menggagalkan gibran jadi wakil presiden  gibran orang beoleransi tinggi sepei memimpin kota solo,negative
omongan seseorang menggambarkan sifatnya,positive
